,040,026,052IS,005G,043G,047,085G,072,038,044-1,044-2,044-3,001,111,046,063,114G,032,021,116,109,109GS,107,061,028,028G,058,058GS,039,042,022,089,064G,082B,073,115,115GS,004,006,093,093IS,045,048,099,081,081G,119IS,068,112,024,012,011GS,062,088,015,033,120,041,118,079,074GS,078,054,030,027,097,095,056,036,060,014,080,050,077,076,013,092,100,049,049G,003,053,110,065,101,066,031,084,ACC1,029,029A,010,009,069,069G,087,086,051,055,055G,055IS,098,094G,091GS,090,070,019,067,034,096,057,037,025IS,102,035
2016-06-05,1,0,0,1,1,0,0,1,2,3,1,3,1,1,0,0,1,0,0,1,1,1,1,1,0,0,2,1,0,2,2,2,1,1,0,1,1,0,0,1,1,0,0,1,2,1,1,1,1,1,4,1,1,2,0,0,3,2,1,1,1,2,0,1,0,0,1,1,1,1,0,2,0,2,1,0,1,1,1,1,2,0,1,1,2,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,1,1,1,1,2,0,2,1,0,0,1,0,1,1,0
2016-06-06,1,0,0,1,1,0,1,0,2,3,1,3,1,1,0,0,1,0,0,1,1,1,1,0,0,0,2,1,0,4,1,2,1,0,0,1,1,0,0,0,1,0,0,1,2,1,1,1,1,1,4,1,0,2,0,0,3,0,1,1,1,2,0,2,0,0,1,1,0,1,0,2,0,0,1,0,1,1,4,1,2,0,1,1,2,1,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,2,0,2,1,0,1,1,0,1,1,0
2016-06-07,0,0,1,1,1,1,1,0,0,4,0,4,1,1,0,0,1,1,0,1,1,1,1,0,0,1,2,1,1,4,0,2,0,0,0,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,3,1,0,1,0,0,3,1,1,1,1,2,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,4,1,2,0,1,1,2,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1,1,1,1,1,2,0,1,1,0,1,1,1,1,1,0
2016-06-08,0,0,0,1,1,1,1,2,2,4,1,4,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,2,0,1,1,1,1,0,0,1,1,1,1,1,2,1,1,1,1,1,2,1,0,2,0,0,3,0,1,0,1,2,0,1,0,0,1,0,0,0,0,1,0,2,1,0,1,1,4,1,2,0,1,0,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,2,0,2,1,1,0,1,0,1,1,0
2016-06-09,1,0,1,1,1,0,0,0,2,3,1,4,1,1,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,2,0,1,1,1,1,0,0,1,1,1,1,0,2,1,1,1,1,1,3,1,0,2,1,0,3,1,0,1,1,2,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,1,4,1,2,0,1,0,2,0,1,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,1,1,2,1,2,1,1,1,0,0,1,1,1
2016-06-10,0,1,0,1,1,0,0,1,0,3,1,4,2,1,1,0,1,0,0,1,1,1,1,0,0,1,0,1,0,2,0,2,1,0,1,1,1,0,0,1,1,1,0,0,2,1,1,1,1,1,4,1,1,1,0,0,3,0,0,1,1,2,0,0,0,0,0,0,0,1,0,2,0,1,1,1,1,1,2,1,2,0,1,1,2,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,2,0,2,1,0,1,0,0,1,1,0
2016-06-11,0,0,1,1,1,0,1,0,0,1,1,4,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,2,1,1,1,1,1,3,1,0,2,0,0,3,0,0,1,1,1,0,1,0,0,0,0,0,0,0,2,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,2,0,2,1,0,0,1,0,1,0,0
2016-06-12,0,1,1,1,1,1,1,0,1,4,1,4,2,1,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,1,4,1,0,0,0,1,3,0,1,1,1,2,1,1,1,1,1,0,1,0,0,2,0,1,1,0,1,1,4,1,2,0,1,1,1,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,2,0,1,1,0,0,1,1,1,1,0
2016-06-13,0,0,1,1,1,1,1,2,0,4,0,4,1,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,4,1,2,1,1,1,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,4,1,0,1,1,0,3,1,0,1,1,0,0,0,0,1,1,0,1,1,0,2,0,1,1,0,1,1,4,1,2,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,1,1,2,0,1,1,0,1,1,0,1,1,0
2016-06-14,0,0,1,1,0,1,0,2,0,4,0,4,0,1,1,1,1,0,1,1,1,1,1,1,0,1,2,0,0,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,4,1,0,2,0,0,2,0,0,1,0,2,2,2,0,0,1,0,0,1,0,2,2,1,1,1,1,1,4,1,2,0,1,1,2,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,1,2,0,0,1,0,0,0,0,1,1,1
