"",,,,,Sun,Mon,Tue,Wed,Thu,Fri,Sat
"",,,,,6/5/2016,6/6/2016,6/7/2016,6/8/2016,6/9/2016,6/10/2016,6/11/2016
040,Andrews Creek (Waste Bag),3.6,10560,7/02,1,1,FULL,FULL,1,FULL,FULL
026,Arch Rock,1.6,8240,5/13,FULL,FULL,FULL,FULL,FULL,1,FULL
052IS,Aspen Knoll Llama,2.3,9400,5/26,FULL,FULL,1,FULL,1,FULL,1
005G,Aspen Meadow Group (WF),5.9,9520,5/31,1,1,1,1,1,1,1
043G,Battle Mountain Group,2.8,11000,6/18,1,1,1,1,1,1,1
047,Beaver Mill,3,9640,6/02,FULL,FULL,1,1,FULL,FULL,FULL
085G,Big Meadows Group,1.9,9400,6/13,FULL,1,1,1,FULL,FULL,1
072,Big Pool,5,9160,6/10,1,FULL,FULL,2,FULL,1,FULL
016GS,Bighorn Mt Grp/Stk,6.8,10320,6/25,NA,NA,NA,NA,NA,NA,NA
038,Boulder Brook,3.9,10200,6/17,2,2,FULL,2,2,FULL,FULL
038G,Boulder Brook Group,3.9,10200,6/17,1,1,1,1,1,1,1
044,Boulderfield,6,12760,6/19,NA,NA,NA,NA,NA,NA,NA
044-1,Boulderfield 1,6,12760,6/19,3,3,4,4,3,3,1
044-2,Boulderfield 2,6,12760,6/19,1,1,FULL,1,1,1,1
044-3,Boulderfield 3,6,12760,6/19,3,3,4,4,4,4,4
001,Boundary Creek (WF),4.6,9120,6/02,1,1,1,1,1,2,FULL
111,Box Canyon,5.5,10480,7/08,1,1,1,1,1,1,1
113,Cache,5.6,10150,7/011,NA,NA,NA,NA,NA,NA,NA
046,Campers Creek,2.3,9600,6/05,FULL,FULL,FULL,FULL,1,1,FULL
071,Cascade Falls,3.5,8840,5/25,NA,NA,NA,NA,NA,NA,NA
063,Cats Lair,4,9200,5/31,FULL,FULL,FULL,FULL,FULL,FULL,FULL
114G,Chapin Creek Group,6.1,10240,7/08,1,1,1,1,1,1,1
032,Cub Creek,2.2,8600,5/13,FULL,FULL,1,FULL,FULL,FULL,FULL
021,Cutbank,2.4,9620,5/21,FULL,FULL,FULL,FULL,FULL,FULL,FULL
116,Desolation,2.3,9840,6/30,1,1,1,1,1,1,1
109,Ditch Camp,4.6,10160,6/26,1,1,1,1,1,1,1
109GS,Ditch Camp Group/Stock,4.6,10160,6/26,1,1,1,1,1,1,1
107,Dutch Town,6.2,10760,7/14,1,1,1,1,1,1,1
061,East Meadow,1.5,8550,5/22,1,FULL,FULL,FULL,FULL,FULL,FULL
028,Fern Lake,3.8,9530,6/10,FULL,FULL,FULL,FULL,FULL,FULL,FULL
028G,Fern Lake Group,3.8,9530,6/10,FULL,FULL,1,FULL,FULL,1,1
058,Finch Lake,4.6,9910,6/11,2,2,2,FULL,FULL,FULL,FULL
058GS,Finch Lake Group/Stock,4.6,9910,6/11,1,1,1,1,1,1,FULL
117,Flatiron,2.3,9840,7/04,NA,NA,NA,NA,NA,NA,NA
075,Foot Bridge,6.5,9290,6/15,NA,NA,NA,NA,NA,NA,NA
039,Glacier Gorge (Waste Bag),3.8,10000,6/19,FULL,FULL,1,FULL,FULL,FULL,FULL
042,Goblins Forest,1.2,10120,6/07,2,4,4,FULL,FULL,2,FULL
022,Golden Banner,2.5,9600,5/24,2,1,FULL,FULL,1,FULL,FULL
089,Granite Falls,5.4,9840,6/18,2,2,2,2,2,2,FULL
064G,Gray Jay Group,4.9,9650,6/11,1,1,FULL,FULL,FULL,1,1
