Code,Description,Distance,Elevation,SnowFreeDate,ElevationGain,Privy,MaxNum
040,Andrews Creek (Waste Bag),3.6,10560,7/02,1320.0,RES2,1.0
026,Arch Rock,1.6,8240,5/13,90.0,No,1.0
052IS,Aspen Knoll Llama,2.3,9400,5/26,900.0,No,1.0
005G,Aspen Meadow Group (WF),5.9,9520,5/31,1560.0,Yes,1.0
043G,Battle Mountain Group,2.8,11000,6/18,1600.0,Yes,1.0
047,Beaver Mill,3,9640,6/02,1330.0,No,1.0
085G,Big Meadows Group,1.9,9400,6/13,600.0,Yes,1.0
072,Big Pool,5,9160,6/10,620.0,No,2.0
038,Boulder Brook,3.9,10200,6/17,960.0,Yes,2.0
044-1,Boulderfield 1,6,12760,6/19,3360.0,Yes,4.0
044-2,Boulderfield 2,6,12760,6/19,3360.0,Yes,1.0
044-3,Boulderfield 3,6,12760,6/19,3360.0,Yes,4.0
001,Boundary Creek (WF),4.6,9120,6/02,1160.0,Yes,2.0
111,Box Canyon,5.5,10480,7/08,1480.0,No,1.0
046,Campers Creek,2.3,9600,6/05,1290.0,No,1.0
063,Cats Lair,4,9200,5/31,810.0,No,1.0
114G,Chapin Creek Group,6.1,10240,7/08,-510.0,Yes,1.0
032,Cub Creek,2.2,8600,5/13,520.0,No,1.0
021,Cutbank,2.4,9620,5/21,1080.0,Yes,1.0
116,Desolation,2.3,9840,6/30,-160.0,No,1.0
109,Ditch Camp,4.6,10160,6/26,1160.0,Yes,1.0
109GS,Ditch Camp Group/Stock,4.6,10160,6/26,1160.0,Yes,1.0
107,Dutch Town,6.2,10760,7/14,1760.0,No,1.0
061,East Meadow,1.5,8550,5/22,160.0,No,1.0
028,Fern Lake,3.8,9530,6/10,1380.0,Yes,2.0
028G,Fern Lake Group,3.8,9530,6/10,1380.0,Yes,1.0
058,Finch Lake,4.6,9910,6/11,1440.0,Yes,2.0
058GS,Finch Lake Group/Stock,4.6,9910,6/11,1440.0,Yes,1.0
039,Glacier Gorge (Waste Bag),3.8,10000,6/19,760.0,RES2,1.0
042,Goblins Forest,1.2,10120,6/07,720.0,Yes,5.0
022,Golden Banner,2.5,9600,5/24,1060.0,Yes,2.0
089,Granite Falls,5.4,9840,6/18,1040.0,No,2.0
064G,Gray Jay Group,4.9,9650,6/11,1260.0,Yes,1.0
082B,Green Mountain,1.8,9550,6/13,750.0,No,1.0
073,Grouseberry,6.2,9250,6/12,710.0,No,1.0
115,Hague Creek,1.6,9720,7/04,-280.0,Yes,1.0
115GS,Hague Creek Group/Stock,1.6,9720,7/04,-280.0,Yes,1.0
004,Halfway (WF),5.6,9340,6/02,1380.0,Yes,1.0
006,Happily Lost (WF),6.2,9560,6/04,1600.0,Yes,1.0
093,Haynach,7.2,10760,7/07,1960.0,No,1.0
093IS,Haynach Llama,7.2,10760,7/07,1960.0,No,1.0
045,Hole-in-the-Wall,1.9,9240,5/31,930.0,No,1.0
048,Hunters Creek,3.3,9760,6/14,1450.0,No,1.0
099,Jackstraw,4,10760,7/03,1750.0,Yes,1.0
081,July,9.7,10760,7/14,2220.0,Yes,2.0
081G,July Group,9.7,10760,7/14,2220.0,Yes,1.0
119IS,Koenig Stock,5.2,10680,7/13,680.0,No,1.0
068,Lake Verna,6.9,10280,7/09,1890.0,No,1.0
112,LaPoudre Pass,6.7,10200,6/24,1200.0,No,1.0
024,Little Rock Lake,6,10280,7/01,-480.0,No,1.0
012,Lost Lake,9.7,10710,7/06,2750.0,Yes,4.0
011GS,Lost Meadow Group/Stock,8.4,10420,6/17,,,1.0
062,Lower East Inlet,2.3,8640,5/23,250.0,No,1.0
088,Lower Granite Falls,5.1,9760,6/23,960.0,No,2.0
015,McGregor Mountain,4.6,9040,5/30,1200.0,Yes,2.0
033,Mill Creek Basin,1.8,9000,5/18,600.0,Yes,1.0
120,Mirror Lake,6,11000,7/13,1000.0,No,3.0
041,Moore Park,1.7,9760,5/28,360.0,Yes,2.0
118,Mummy Pass Creek (WF),4.6,10640,7/10,640.0,No,1.0
079,North Inlet Falls,7.6,9540,6/26,1000.0,No,1.0
074GS,North Inlet Group/Stk (WF),6.5,9290,6/19,750.0,Yes,1.0
078,North Inlet Junction,7.5,9600,6/11,1060.0,Yes,2.0
054,North St.Vrain,3.5,9560,6/01,1060.0,Yes,2.0
030,Odessa Lake,4.1,10020,6/28,540.0,Yes,2.0
027,Old Forest Inn,1.7,8400,5/13,250.0,Yes,2.0
097,Onahu Bridge,2.9,9650,6/17,830.0,No,1.0
095,Onahu Creek,2.4,9480,6/13,660.0,No,1.0
